Wavelength,IR,Red,Orange,Yellow,Green,Blue,Pink,UV
362.656,-6.41,4.44,-30.58,131.2,-32.06,20.22,-4.93,51.3
362.873,139.59,-11.34,56.23,2.96,13.32,18.25,99.63,57.22
363.09,792.63,367.46,1117.67,713.22,108.02,73.49,350.2,187.43
363.307,585.47,166.22,831.59,612.6,5.43,69.55,204.2,179.54
363.525,143.53,59.68,174.6,435.03,29.1,39.95,54.26,104.57
363.742,143.53,32.06,227.87,-247.6,5.43,2.47,20.72,118.38
363.959,429.61,162.27,539.6,742.81,82.37,110.98,170.66,110.48
364.176,-114.92,-27.13,-38.47,-18.74,-43.9,32.06,-46.36,25.65
364.393,-34.03,-29.1,-156.85,-34.53,-55.74,-13.32,73.99,100.62
364.61,-120.84,-70.53,-131.2,-154.88,-32.06,-19.24,6.91,15.78
364.827,210.61,81.38,216.04,229.85,-12.33,12.33,12.82,120.35
365.045,-20.22,-15.29,24.66,223.93,38.97,-78.42,-42.42,88.78
365.262,74.48,-23.18,81.88,360.06,-47.84,32.06,-24.66,82.86
365.479,327.01,112.95,318.63,111.47,40.94,-27.13,198.28,112.46
365.696,-12.33,22.2,-156.85,-247.6,-2.47,73.49,10.85,9.86
365.913,82.37,6.41,273.25,302.85,3.45,-36.99,103.58,110.48
366.13,457.23,176.08,504.09,557.35,64.61,24.17,107.52,169.67
366.347,-146.49,-119.86,-148.96,-172.63,72.51,59.68,26.63,63.13
366.564,42.91,-25.15,-77.93,-119.36,-77.44,-1.48,10.85,15.78
366.781,90.26,16.28,-28.61,135.15,-79.41,4.44,52.28,90.76
366.998,362.53,103.09,482.38,628.38,27.13,39.95,105.55,116.4
367.215,269.8,89.28,342.3,474.49,25.15,8.38,150.93,146
367.432,129.72,16.28,-32.55,-24.66,-69.55,-33.05,-38.47,155.86
367.649,263.88,87.3,326.52,602.73,36.99,41.92,166.71,132.19
367.865,106.05,34.03,123.31,318.63,84.34,22.2,64.12,59.19
368.082,190.88,37.98,70.04,-89.77,19.24,28.11,72.01,84.84
368.299,68.56,-36.99,68.07,93.71,-22.2,43.9,14.8,193.35
368.516,-241.19,-214.56,-466.6,-770.43,-37.98,-17.26,-162.77,1.97
368.733,413.82,203.71,320.6,458.71,94.21,142.54,148.96,175.59
368.95,374.36,128.73,431.09,466.6,-47.84,101.11,184.47,193.35
369.167,518.39,229.35,594.84,502.11,-4.44,93.22,200.25,215.05
369.383,149.45,-9.37,52.28,156.85,-57.71,-29.1,54.26,122.32
369.6,102.1,-11.34,6.91,166.71,25.15,2.47,0.99,169.67
369.817,378.31,142.54,446.87,137.12,64.61,28.11,113.44,173.62
370.034,109.99,65.6,154.88,-12.82,-22.2,-13.32,-58.2,157.83
370.25,-213.57,-92.23,-397.55,-547.49,-51.79,-40.94,-85.82,90.76
370.467,40.94,28.11,52.28,342.3,27.13,59.68,2.96,153.89
370.684,56.72,-66.59,-115.42,-115.42,-18.25,28.11,18.74,55.24
370.901,147.48,136.63,198.28,103.58,-53.76,57.71,16.77,159.81
371.117,261.91,57.71,360.06,498.17,52.78,16.28,115.42,211.1
371.334,-116.9,-29.1,-117.39,-62.15,-28.11,26.14,-64.12,74.97
371.551,68.56,0.49,-117.39,-125.28,-8.38,41.92,-10.85,161.78
371.767,108.02,28.11,162.77,103.58,27.13,41.92,36.5,215.05
371.984,-75.46,-17.26,-143.04,-336.39,9.37,8.38,-16.77,78.92
372.2,190.88,65.6,174.6,500.14,7.4,43.9,143.04,163.75
372.417,313.2,191.87,417.28,287.06,54.75,36.01,212.09,193.35
372.634,279.66,183.98,239.71,362.03,5.43,39.95,75.96,74.97
372.85,200.75,36.01,218.01,298.9,-20.22,4.44,20.72,209.13
373.067,409.88,158.33,650.08,1429.39,44.88,87.3,152.9,219
